X_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,geometry
412,GO-20093528405,1255147200000,2009,October,10,Saturday,283,D14,Shooting,85,South Parkdale,85,South Parkdale (85),"{'type': 'MultiPoint', 'coordinates': [[-79.434792122, 43.6339777790001]]}"
413,GO-20093464087,1255838400000,2009,October,18,Sunday,291,D51,Other,168,Downtown Yonge East,75,Church-Yonge Corridor (75),"{'type': 'MultiPoint', 'coordinates': [[-79.377265847, 43.6506809900001]]}"
414,GO-20093524643,1255838400000,2009,October,18,Sunday,291,D31,Shooting,27,York University Heights,27,York University Heights (27),"{'type': 'MultiPoint', 'coordinates': [[-79.487559725, 43.7496091630001]]}"
415,GO-20093425603,1256875200000,2009,October,30,Friday,303,D13,Shooting,94,Wychwood,94,Wychwood (94),"{'type': 'MultiPoint', 'coordinates': [[-79.4309524289999, 43.674716624]]}"
416,GO-20093588501,1257138000000,2009,November,2,Monday,306,D54,Shooting,67,Playter Estates-Danforth,67,Playter Estates-Danforth (67),"{'type': 'MultiPoint', 'coordinates': [[-79.345435905, 43.680441574]]}"
417,GO-20093454028,1257224400000,2009,November,3,Tuesday,307,D31,Shooting,27,York University Heights,27,York University Heights (27),"{'type': 'MultiPoint', 'coordinates': [[-79.4986848299999, 43.7514205800001]]}"
418,GO-20093586765,1257310800000,2009,November,4,Wednesday,308,D53,Stabbing,95,Annex,95,Annex (95),"{'type': 'MultiPoint', 'coordinates': [[-79.399134744, 43.6726966140001]]}"
419,GO-20093593532,1257570000000,2009,November,7,Saturday,311,D55,Other,68,North Riverdale,68,North Riverdale (68),"{'type': 'MultiPoint', 'coordinates': [[-79.354325471, 43.6650708070001]]}"
420,GO-20093411009,1257570000000,2009,November,7,Saturday,311,D14,Stabbing,79,University,79,University (79),"{'type': 'MultiPoint', 'coordinates': [[-79.407466837, 43.6659082100001]]}"
421,GO-20093425609,1257915600000,2009,November,11,Wednesday,315,D13,Shooting,107,Oakwood Village,107,Oakwood Village (107),"{'type': 'MultiPoint', 'coordinates': [[-79.4388895009999, 43.6915344770001]]}"
422,GO-20092776015,1258434000000,2009,November,17,Tuesday,321,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),"{'type': 'MultiPoint', 'coordinates': [[-79.5506207779999, 43.6882250850001]]}"
423,GO-20093358995,1258866000000,2009,November,22,Sunday,326,D52,Shooting,169,Bay-Cloverhill,76,Bay Street Corridor (76),"{'type': 'MultiPoint', 'coordinates': [[-79.387694846, 43.665651805]]}"
424,GO-20093577507,1258866000000,2009,November,22,Sunday,326,D41,Shooting,156,Bendale-Glen Andrew,127,Bendale (127),"{'type': 'MultiPoint', 'coordinates': [[-79.266489129, 43.7689478570001]]}"
425,GO-20093687835,1259816400000,2009,December,3,Thursday,337,D31,Shooting,28,Rustic,28,Rustic (28),"{'type': 'MultiPoint', 'coordinates': [[-79.5047096439999, 43.7157375460001]]}"
426,GO-20093574569,1259989200000,2009,December,5,Saturday,339,D51,Other,74,North St.James Town,74,North St.James Town (74),"{'type': 'MultiPoint', 'coordinates': [[-79.3737671549999, 43.6672884060001]]}"
427,GO-20093567900,1260075600000,2009,December,6,Sunday,340,D31,Shooting,21,Humber Summit,21,Humber Summit (21),"{'type': 'MultiPoint', 'coordinates': [[-79.5680212189999, 43.7567969080001]]}"
428,GO-20093574814,1260162000000,2009,December,7,Monday,341,D31,Shooting,113,Weston,113,Weston (113),"{'type': 'MultiPoint', 'coordinates': [[-79.52376885, 43.7023779620001]]}"
