year,month,day,day_of_week,homicide_type,hood_158,hood_140
2008,June,13,Friday,Shooting,162,82
2008,June,15,Sunday,Shooting,111,111
2008,June,22,Sunday,Other,61,61
2008,June,23,Monday,Other,120,120
2008,July,9,Wednesday,Shooting,119,119
2008,July,14,Monday,Stabbing,97,97
2008,July,17,Thursday,Shooting,135,135
2008,July,19,Saturday,Shooting,143,131
2008,July,20,Sunday,Shooting,20,20
2008,July,20,Sunday,Shooting,20,20
2008,July,20,Sunday,Shooting,20,20
2008,July,26,Saturday,Shooting,23,23
2008,July,27,Sunday,Shooting,110,110
2008,August,2,Saturday,Stabbing,73,73
2008,August,3,Sunday,Other,86,86
2008,August,3,Sunday,Stabbing,64,64
2008,August,10,Sunday,Shooting,128,128
2008,August,22,Friday,Other,166,77
2008,August,24,Sunday,Shooting,35,35
2008,August,26,Tuesday,Shooting,145,132
2008,August,28,Thursday,Other,78,78
2008,September,2,Tuesday,Stabbing,52,52
2008,September,8,Monday,Shooting,112,112
2008,September,8,Monday,Stabbing,21,21
2008,September,9,Tuesday,Shooting,29,29
2008,September,16,Tuesday,Stabbing,128,128
2008,September,16,Tuesday,Shooting,24,24
2008,September,22,Monday,Shooting,25,25
2008,September,24,Wednesday,Other,155,26
2008,October,3,Friday,Shooting,8,8
2008,October,9,Thursday,Shooting,154,26
2008,October,11,Saturday,Other,163,82
2008,October,13,Monday,Stabbing,143,131
2008,October,13,Monday,Stabbing,143,131
2008,October,14,Tuesday,Shooting,139,139
2008,October,25,Saturday,Shooting,70,70
2008,October,25,Saturday,Shooting,33,33
2008,November,18,Tuesday,Stabbing,135,135
2008,November,18,Tuesday,Stabbing,135,135
2008,November,18,Tuesday,Stabbing,135,135
2008,November,23,Sunday,Other,11,11
2008,November,26,Wednesday,Shooting,119,119
2008,December,3,Wednesday,Stabbing,18,18
2008,December,6,Saturday,Stabbing,112,112
2008,December,25,Thursday,Other,125,125
2009,January,3,Saturday,Shooting,21,21
2009,January,4,Sunday,Shooting,42,42
2009,January,6,Tuesday,Other,44,44
2009,January,16,Friday,Stabbing,91,91
2009,January,20,Tuesday,Shooting,110,110
2009,February,1,Sunday,Shooting,113,113
2009,February,10,Tuesday,Shooting,135,135
2009,February,22,Sunday,Shooting,24,24
2009,February,26,Thursday,Shooting,112,112
2009,February,28,Saturday,Shooting,126,126
2009,March,12,Thursday,Stabbing,24,24
2009,April,2,Thursday,Stabbing,124,124
2009,April,17,Friday,Stabbing,70,70
2009,April,21,Tuesday,Shooting,110,110
2009,April,22,Wednesday,Shooting,115,115
2009,May,1,Friday,Shooting,114,114
2009,May,5,Tuesday,Stabbing,84,84
2009,May,9,Saturday,Other,65,65
2009,May,11,Monday,Shooting,111,111
2009,May,20,Wednesday,Stabbing,70,70
2009,May,20,Wednesday,Stabbing,111,111
2009,May,20,Wednesday,Other,111,111
2009,June,15,Monday,Stabbing,6,6
2009,June,17,Wednesday,Other,31,31
2009,June,21,Sunday,Stabbing,70,70
2009,June,21,Sunday,Stabbing,70,70
2009,July,7,Tuesday,Other,25,25
2009,July,11,Saturday,Other,126,126
2009,July,19,Sunday,Shooting,143,131
2009,July,20,Monday,Stabbing,118,118
2009,July,25,Saturday,Shooting,79,79
2009,August,1,Saturday,Shooting,95,95
2009,August,2,Sunday,Shooting,1,1
2009,August,4,Tuesday,Shooting,160,17
2009,August,5,Wednesday,Shooting,138,138
2009,August,10,Monday,Shooting,1,1
2009,August,16,Sunday,Shooting,2,2
2009,September,2,Wednesday,Shooting,69,69
2009,September,5,Saturday,Shooting,166,77
2009,September,7,Monday,Shooting,49,49
2009,September,12,Saturday,Other,124,124
2009,October,10,Saturday,Shooting,85,85
2009,October,18,Sunday,Other,168,75
2009,October,18,Sunday,Shooting,27,27
2009,October,30,Friday,Shooting,94,94
2009,November,2,Monday,Shooting,67,67
2009,November,3,Tuesday,Shooting,27,27
2009,November,4,Wednesday,Stabbing,95,95
2009,November,7,Saturday,Other,68,68
2009,November,7,Saturday,Stabbing,79,79
2009,November,11,Wednesday,Shooting,107,107
2009,November,17,Tuesday,Shooting,6,6
2009,November,22,Sunday,Shooting,169,76
2009,November,22,Sunday,Shooting,156,127
2009,December,3,Thursday,Shooting,28,28
2009,December,5,Saturday,Other,74,74
2009,December,6,Sunday,Shooting,21,21
2009,December,7,Monday,Shooting,113,113
2009,December,9,Wednesday,Shooting,154,26
2009,December,13,Sunday,Stabbing,89,89
2009,December,18,Friday,Other,78,78
2009,December,29,Tuesday,Shooting,90,90
2010,January,2,Saturday,Other,68,68
2010,January,7,Thursday,Shooting,146,132
2010,January,24,Sunday,Other,78,78
2010,January,27,Wednesday,Stabbing,119,119
2010,February,3,Wednesday,Stabbing,71,71
2010,February,7,Sunday,Shooting,30,30
2010,February,8,Monday,Shooting,28,28
2010,February,14,Sunday,Other,138,138
2010,February,15,Monday,Other,70,70
2010,March,11,Thursday,Shooting,136,136
2010,March,13,Saturday,Other,119,119
2010,April,4,Sunday,Other,87,87
2010,April,28,Wednesday,Other,73,73
2010,May,3,Monday,Shooting,107,107
2010,May,8,Saturday,Other,171,93
2010,May,10,Monday,Stabbing,148,117
2010,May,17,Monday,Shooting,112,112
2010,May,25,Tuesday,Other,135,135
2010,May,29,Saturday,Other,25,25
2010,May,29,Saturday,Stabbing,87,87
2010,May,31,Monday,Other,30,30
2010,June,12,Saturday,Stabbing,96,96
2010,June,12,Saturday,Other,18,18
2010,June,29,Tuesday,Stabbing,6,6
2010,June,30,Wednesday,Stabbing,111,111
2010,July,2,Friday,Shooting,155,26
2010,July,2,Friday,Stabbing,95,95
2010,July,6,Tuesday,Shooting,156,127
2010,July,9,Friday,Other,119,119
2010,July,10,Saturday,Shooting,78,78
2010,July,13,Tuesday,Shooting,44,44
2010,July,14,Wednesday,Stabbing,156,127
2010,July,16,Friday,Shooting,128,128
2010,July,30,Friday,Shooting,25,25
2010,July,30,Friday,Shooting,1,1
2010,July,31,Saturday,Stabbing,44,44
2010,August,8,Sunday,Other,71,71
2010,August,14,Saturday,Shooting,159,14
2010,August,14,Saturday,Shooting,74,74
2010,August,24,Tuesday,Shooting,32,32
2010,August,27,Friday,Stabbing,83,83
2010,August,29,Sunday,Other,90,90
2010,September,6,Monday,Other,55,55
2010,September,10,Friday,Shooting,142,137
2010,September,12,Sunday,Shooting,24,24
2010,September,12,Sunday,Other,30,30
2010,September,25,Saturday,Stabbing,8,8
2010,September,29,Wednesday,Shooting,113,113
2010,September,29,Wednesday,Shooting,113,113
2010,October,4,Monday,Shooting,85,85
2010,October,4,Monday,Shooting,24,24
2010,October,9,Saturday,Shooting,72,72
2010,October,9,Saturday,Shooting,72,72
2010,October,17,Sunday,Shooting,121,121
2010,October,25,Monday,Shooting,72,72
2010,October,27,Wednesday,Stabbing,70,70
2010,November,17,Wednesday,Shooting,37,37
2010,November,20,Saturday,Shooting,47,47
2010,November,22,Monday,Shooting,25,25
2010,November,24,Wednesday,Shooting,142,137
